"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"GHM00065457","AKIM ODA, GH","2000-06-17","0.16","78","84","75"
"GHM00065457","AKIM ODA, GH","2000-08-04","0.02","74","77","72"
"GHM00065457","AKIM ODA, GH","2000-08-29","0.08","78","86","73"
"GHM00065457","AKIM ODA, GH","2000-09-01","0.03","79","88","72"
"GHM00065457","AKIM ODA, GH","2000-12-12",,"76",,"66"
"GHM00065457","AKIM ODA, GH","2001-02-18",,"78",,"72"
"GHM00065457","AKIM ODA, GH","2001-02-20",,"78","100","70"
"GHM00065457","AKIM ODA, GH","2001-02-22","0.02","83","99","73"
"GHM00065457","AKIM ODA, GH","2001-02-24",,"87","98","75"
"GHM00065457","AKIM ODA, GH","2001-04-08",,"80","92",
"GHM00065457","AKIM ODA, GH","2002-02-08",,"84","95","74"
"GHM00065457","AKIM ODA, GH","2002-02-26",,"87","95",
"GHM00065457","AKIM ODA, GH","2002-03-02",,"81","93","73"
"GHM00065457","AKIM ODA, GH","2002-05-10",,"83","93",
"GHM00065457","AKIM ODA, GH","2002-11-07","0.01","78",,"72"
"GHM00065457","AKIM ODA, GH","2002-11-13",,"78",,
"GHM00065457","AKIM ODA, GH","2002-11-20","0.00","78","91","71"
"GHM00065457","AKIM ODA, GH","2002-11-22","0.16","78",,"73"
"GHM00065457","AKIM ODA, GH","2002-11-25","0.20","78","91","71"
"GHM00065457","AKIM ODA, GH","2002-11-29","0.12","80","91","72"
"GHM00065457","AKIM ODA, GH","2002-11-30","0.00","81","91","72"
"GHM00065457","AKIM ODA, GH","2002-12-03","0.00","81","90",
"GHM00065457","AKIM ODA, GH","2002-12-07",,"80","92","72"
"GHM00065457","AKIM ODA, GH","2002-12-09","0.02","78","88","71"
"GHM00065457","AKIM ODA, GH","2002-12-14","0.00","82","91","75"
"GHM00065457","AKIM ODA, GH","2002-12-15","0.00","82","92","75"
"GHM00065457","AKIM ODA, GH","2002-12-17",,"79",,"70"
"GHM00065457","AKIM ODA, GH","2002-12-26",,"79","87",
"GHM00065457","AKIM ODA, GH","2003-01-04","0.00","81","90","73"
"GHM00065457","AKIM ODA, GH","2003-01-11","0.00","82","92","75"
"GHM00065457","AKIM ODA, GH","2003-01-14",,"79",,"73"
"GHM00065457","AKIM ODA, GH","2003-01-18","0.00","83","92","76"
"GHM00065457","AKIM ODA, GH","2003-01-23",,"77",,
"GHM00065457","AKIM ODA, GH","2003-01-26","0.00","80","88","73"
"GHM00065457","AKIM ODA, GH","2003-01-28",,"81","92",
"GHM00065457","AKIM ODA, GH","2003-01-29","0.00","77","93","64"
"GHM00065457","AKIM ODA, GH","2003-01-31","0.00","81","92",
"GHM00065457","AKIM ODA, GH","2003-02-01",,"82","93",
"GHM00065457","AKIM ODA, GH","2003-02-03","0.00","85","97","76"
"GHM00065457","AKIM ODA, GH","2003-02-04",,"83",,"77"
"GHM00065457","AKIM ODA, GH","2003-02-05","0.00","85","96","76"
"GHM00065457","AKIM ODA, GH","2003-02-20","0.00","83","94","77"
"GHM00065457","AKIM ODA, GH","2003-02-28","0.67","80","91",
"GHM00065457","AKIM ODA, GH","2003-03-02",,"78","94","70"
"GHM00065457","AKIM ODA, GH","2003-03-03",,"76","92","73"
"GHM00065457","AKIM ODA, GH","2003-03-05","0.00","86","94","74"
"GHM00065457","AKIM ODA, GH","2003-03-14","0.00","84","96","74"
"GHM00065457","AKIM ODA, GH","2003-03-24","0.04","84","97","73"
"GHM00065457","AKIM ODA, GH","2003-04-07",,"85","93",
"GHM00065457","AKIM ODA, GH","2003-04-08",,"81",,"73"
"GHM00065457","AKIM ODA, GH","2003-04-09",,"80","90","72"
"GHM00065457","AKIM ODA, GH","2003-04-13",,"85","92",
"GHM00065457","AKIM ODA, GH","2003-04-20",,"80",,"73"
"GHM00065457","AKIM ODA, GH","2003-04-23",,"80","92",
"GHM00065457","AKIM ODA, GH","2003-04-27",,"76","81",
"GHM00065457","AKIM ODA, GH","2003-05-11","0.00","80","93",
"GHM00065457","AKIM ODA, GH","2003-05-14",,"83","92",
"GHM00065457","AKIM ODA, GH","2003-05-19","0.16","80","90",
"GHM00065457","AKIM ODA, GH","2003-05-23",,"85","93","74"
"GHM00065457","AKIM ODA, GH","2003-06-10","0.63","78","89","74"
"GHM00065457","AKIM ODA, GH","2003-06-12",,"80","84","74"
"GHM00065457","AKIM ODA, GH","2003-06-15","0.20","79",,"74"
"GHM00065457","AKIM ODA, GH","2003-06-28","0.00","78","84","72"
"GHM00065457","AKIM ODA, GH","2003-07-10","0.00","78","90","68"
"GHM00065457","AKIM ODA, GH","2003-07-17","0.00","76","85","71"
"GHM00065457","AKIM ODA, GH","2003-07-21","0.43","76","80","72"
"GHM00065457","AKIM ODA, GH","2003-07-23","0.00","77","83","71"
"GHM00065457","AKIM ODA, GH","2003-07-24","0.00","79","90","71"
"GHM00065457","AKIM ODA, GH","2003-07-25","0.00","78","84","73"
"GHM00065457","AKIM ODA, GH","2003-07-28","0.20","78","86","72"
"GHM00065457","AKIM ODA, GH","2003-08-02",,"77","84","71"
"GHM00065457","AKIM ODA, GH","2003-08-04","0.00","81","87","72"
"GHM00065457","AKIM ODA, GH","2003-08-05",,"80","87","73"
"GHM00065457","AKIM ODA, GH","2003-08-07",,"76","84","73"
"GHM00065457","AKIM ODA, GH","2003-08-12","0.43","76","87","72"
"GHM00065457","AKIM ODA, GH","2003-08-17","0.02","77","85","73"
"GHM00065457","AKIM ODA, GH","2003-08-19",,"77","81","73"
"GHM00065457","AKIM ODA, GH","2003-08-21","0.35","76","81","71"
"GHM00065457","AKIM ODA, GH","2003-08-31",,"77",,"73"
"GHM00065457","AKIM ODA, GH","2003-09-05",,"76","86","73"
"GHM00065457","AKIM ODA, GH","2003-09-11",,"80","88","73"
"GHM00065457","AKIM ODA, GH","2003-09-16","0.03","79","87","73"
"GHM00065457","AKIM ODA, GH","2003-09-19",,"79","88",
"GHM00065457","AKIM ODA, GH","2003-09-26","0.02","76","90","71"
"GHM00065457","AKIM ODA, GH","2003-10-15","2.56","78","88","66"
"GHM00065457","AKIM ODA, GH","2003-10-18","1.02","78","90","70"
"GHM00065457","AKIM ODA, GH","2003-10-20","0.51","80","95","72"
"GHM00065457","AKIM ODA, GH","2003-10-21","0.00","79","92","74"
"GHM00065457","AKIM ODA, GH","2003-10-25",,"77","92","68"
"GHM00065457","AKIM ODA, GH","2003-11-04","0.02","78","91","71"
