Station Name		HAMILTON RBG CS
Province		ONTARIO
Latitude		43.29
Longitude		-79.91
Elevation		102.00
Climate Identifier	6153301
WMO Identifier		71297
TC Identifier		XHM

Legend
A	Accumulated
C	Precipitation occurred, amount uncertain
E	Estimated
F	Accumulated and estimated
L	Precipitation may or may not have occurred
M	Missing
N	Temperature missing but known to be > 0
S	More than one occurrence
T	Trace
Y	Temperature missing but known to be < 0
[empty]	Indicates an unobserved value
^	The value displayed is based on incomplete data
†	Data that is not subject to review by the National Climate Archives
