"","sub.precip"
"1",7.5
"2",1.9
"3",2
"4",4
"5",3.6
"6",1.5
"7",1.4
"8",1.2
"9",7.1
"10",2.5
"11",1.4
"12",3.2
"13",1.3
"14",2.3
"15",1.8
"16",18.3
"17",1.4
"18",25.2
"19",4
"20",20.7
"21",14.2
"22",7.9
"23",3.8
"24",1.5
"25",7
"26",15.3
"27",1.6
"28",5.8
"29",12.5
"30",4.1
"31",1
"32",20.8
"33",3.7
"34",5.1
"35",14.5
"36",1.4
"37",13.6
"38",8.6
"39",7.4
"40",6.1
"41",2.5
"42",4.1
"43",1.9
"44",8.2
"45",1.3
"46",1.3
"47",2.2
"48",6
"49",15.5
"50",12.1
"51",3.8
"52",10.2
"53",20.1
"54",2.4
"55",22.6
"56",3.9
"57",1.7
"58",8.5
"59",23.7
"60",27
"61",10.2
"62",14.2
"63",1.3
"64",2
"65",6.8
"66",2.3
"67",16.4
"68",18.9
"69",1
"70",8.6
"71",5.7
"72",2.6
"73",4
"74",1.2
"75",15.6
"76",6.3
"77",7.3
"78",5.5
"79",7.4
"80",3.2
"81",2.9
"82",2.8
"83",15.1
"84",7.4
"85",3
"86",21.7
"87",1.5
"88",1.7
"89",4.1
"90",2.4
"91",5.2
"92",5.9
"93",6.6
"94",14.9
"95",5.2
"96",4.2
"97",39.2
"98",1.8
"99",1.1
"100",5.1
"101",19
"102",1.2
"103",5.2
"104",11.8
"105",1.4
"106",10.8
"107",2.4
"108",7.4
"109",3.1
"110",9.2
"111",2.6
"112",7.7
"113",1.4
"114",1.1
"115",7.6
"116",2.5
"117",12.2
"118",1.3
"119",3.4
"120",2.2
"121",2.6
"122",4.1
"123",1.8
"124",1.7
"125",1.4
"126",8.8
"127",2.1
"128",4.5
"129",5.4
"130",4.5
"131",4.7
"132",3.5
"133",4.7
"134",3.1
"135",4.7
"136",4.5
"137",3.6
"138",6.4
"139",17.6
"140",1.5
"141",5.8
"142",2.9
"143",10.5
"144",1.4
"145",36
"146",1.4
"147",8.1
"148",6.2
"149",6.5
"150",1.5
"151",1.9
"152",6.8
"153",1.4
"154",4.7
"155",2.4
"156",4.7
"157",13.1
"158",9.7
"159",3.5
"160",9.1
"161",3.4
"162",8.4
"163",2.8
"164",13
"165",2.2
"166",4
"167",10.4
"168",5.3
"169",27.5
"170",5.4
"171",20.4
"172",4.9
"173",10.6
"174",7.8
"175",1.4
"176",1.1
"177",8.4
"178",7.5
"179",3.4
"180",4.3
"181",1.3
"182",21.6
"183",1.1
"184",1.3
"185",21.9
"186",9.7
"187",16.5
"188",9.4
"189",6.6
"190",6.1
"191",4.2
"192",12.1
"193",5.1
"194",2.6
"195",9.6
"196",7.2
"197",7.5
"198",7.4
"199",2.3
"200",10.7
"201",1.2
"202",4.6
"203",1
"204",6
"205",42.3
"206",1.7
"207",1.1
"208",10.1
"209",23.9
"210",4
"211",2.2
"212",20.7
"213",3.1
"214",2
"215",9.9
"216",1.6
"217",24.4
"218",16.1
"219",1.4
"220",4.5
"221",11.2
"222",2
"223",4.3
"224",1.2
"225",6.9
"226",22.1
"227",14.1
"228",11.4
"229",21.5
"230",1.1
"231",1.8
"232",5.4
"233",9.3
"234",1.9
"235",12
"236",1.1
"237",17.9
"238",1.4
"239",5.9
"240",41.4
"241",6.3
"242",3
"243",1.2
"244",4.9
"245",2.8
"246",20.5
"247",3.4
"248",13.8
"249",2.7
"250",9.3
"251",3.9
"252",13.1
"253",1.6
"254",15
"255",5.4
"256",1.1
"257",4.4
"258",1
"259",43.6
"260",3.2
"261",2.3
"262",6.6
"263",19.8
"264",13.7
"265",2
"266",10.4
"267",8.8
"268",1.3
"269",14.6
"270",16.2
"271",1.8
"272",6.7
"273",31.8
"274",1.4
"275",8.1
"276",2.6
"277",5.7
"278",1.4
"279",11.6
"280",5.4
"281",7.2
"282",6.8
"283",6.5
"284",9.4
"285",11.9
"286",16.1
"287",1.7
"288",3.5
"289",10.7
"290",11.3
"291",1.8
"292",3
"293",1
"294",3.3
"295",2
"296",13.4
"297",1.3
"298",2.5
"299",1.3
"300",16.6
"301",18.8
"302",22.8
"303",1.6
"304",1.6
"305",1.3
"306",2.2
"307",16.2
"308",5.4
"309",3.2
"310",11.3
"311",2.2
"312",2
"313",2.7
"314",15
"315",2
"316",9.5
"317",1.1
"318",2.7
"319",2.1
"320",16.1
"321",6.3
"322",2
"323",1.5
"324",8
"325",3.5
"326",2.6
"327",7.8
"328",11.7
"329",4.1
"330",4.9
"331",1.8
"332",19.6
"333",9.9
"334",2.1
"335",6.4
"336",30.4
"337",14.5
"338",1.7
"339",1.2
"340",35.2
"341",15.7
"342",14
"343",5.5
"344",9.4
"345",8.7
"346",3.8
"347",24.4
"348",12.4
"349",2.5
"350",4.4
"351",3
"352",1.2
"353",11
"354",5.6
"355",2.2
"356",8.8
"357",1.3
"358",16.6
"359",19.8
"360",2
"361",10.6
"362",1.1
"363",10.5
"364",12.3
"365",36
"366",1.9
"367",26.2
"368",1.2
"369",1.9
"370",6.3
"371",1.5
"372",7.5
"373",1.3
"374",20
"375",1.5
"376",2.1
"377",8.2
"378",1.1
"379",5.6
"380",4.4
"381",2
"382",1.1
"383",1.6
"384",3.4
"385",6.6
"386",3.1
"387",3.2
"388",7
"389",11.6
"390",1
"391",5.7
"392",5
"393",1.9
"394",7.3
"395",3
"396",1.3
"397",19
"398",13
"399",1.4
"400",1.4
"401",1.2
"402",4.8
"403",6.5
"404",11.1
"405",4.5
"406",1.6
"407",3.7
"408",2.9
"409",6.7
"410",9.4
"411",3
"412",2.9
"413",3.5
"414",4.3
"415",1.6
"416",27
"417",20
"418",1.1
"419",3.5
"420",1.1
"421",5.8
"422",17.7
"423",1
"424",3.7
"425",11.5
"426",11.1
"427",25.5
"428",8.7
"429",24.1
"430",1.1
"431",2.5
"432",8.2
"433",5.5
"434",4.5
"435",1.1
"436",3.6
"437",43.1
